,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
"z_switch_condition_num|participant_id_offset[2.0, 62213]",-0.346,0.222,-0.789,0.037,0.064,0.047,13.0,49.0,1.16
"z_switch_condition_num|participant_id_offset[2.0, 62233]",-1.739,0.287,-2.311,-1.252,0.036,0.026,64.0,114.0,1.01
"z_switch_condition_num|participant_id_offset[2.0, 62253]",-0.822,0.226,-1.215,-0.398,0.029,0.02,63.0,97.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 62263]",-1.069,0.244,-1.475,-0.545,0.031,0.022,60.0,141.0,1.02
"z_switch_condition_num|participant_id_offset[2.0, 62273]",-1.233,0.262,-1.752,-0.764,0.039,0.027,47.0,105.0,1.01
"z_switch_condition_num|participant_id_offset[2.0, 62283]",-1.643,0.261,-2.136,-1.179,0.035,0.025,58.0,137.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 62293]",-0.932,0.272,-1.39,-0.421,0.039,0.028,50.0,72.0,1.0
"z_switch_condition_num|participant_id_offset[2.0, 62303]",-1.549,0.27,-2.053,-1.027,0.047,0.039,36.0,69.0,1.08
"z_switch_condition_num|participant_id_offset[2.0, 62313]",-0.764,0.203,-1.14,-0.397,0.026,0.019,63.0,183.0,1.03
"z_switch_condition_num|participant_id_offset[2.0, 62323]",-0.73,0.234,-1.158,-0.32,0.067,0.053,12.0,58.0,1.14
"z_switch_condition_num|participant_id_offset[2.0, 62333]",-0.541,0.266,-1.013,0.058,0.069,0.05,18.0,20.0,1.13
"z_switch_condition_num|participant_id_offset[2.0, 62343]",-1.292,0.278,-1.866,-0.827,0.052,0.039,31.0,56.0,1.08
"z_switch_condition_num|participant_id_offset[2.0, 62363]",-0.756,0.21,-1.142,-0.37,0.032,0.023,42.0,74.0,1.04
"z_switch_condition_num|participant_id_offset[2.0, 62373]",-0.824,0.288,-1.34,-0.267,0.041,0.029,48.0,26.0,1.04
"z_switch_condition_num|participant_id_offset[2.0, 62393]",-0.849,0.237,-1.321,-0.396,0.039,0.027,37.0,141.0,1.07
"z_switch_condition_num|participant_id_offset[2.0, 62403]",-0.899,0.244,-1.31,-0.446,0.055,0.039,21.0,102.0,1.08
"z_switch_condition_num|participant_id_offset[2.0, 62413]",-0.548,0.264,-1.117,-0.136,0.061,0.046,19.0,63.0,1.09
"z_switch_condition_num|participant_id_offset[2.0, 62423]",-0.833,0.204,-1.205,-0.499,0.026,0.019,58.0,259.0,1.01
"z_switch_condition_num|participant_id_offset[2.0, 62433]",-0.609,0.252,-1.105,-0.11,0.055,0.044,25.0,23.0,1.1
"z_switch_condition_num|participant_id_offset[2.0, 62443]",-1.068,0.246,-1.516,-0.573,0.04,0.029,39.0,98.0,1.03
"z_switch_condition_num|participant_id_offset[3.0, 42013]",-2.05,0.211,-2.427,-1.656,0.05,0.036,18.0,210.0,1.09
"z_switch_condition_num|participant_id_offset[3.0, 42023]",-0.853,0.146,-1.091,-0.558,0.022,0.016,43.0,156.0,1.06
"z_switch_condition_num|participant_id_offset[3.0, 42033]",-1.022,0.193,-1.349,-0.658,0.028,0.02,46.0,187.0,1.03
"z_switch_condition_num|participant_id_offset[3.0, 42043]",-1.195,0.175,-1.507,-0.838,0.03,0.023,36.0,28.0,1.06
"z_switch_condition_num|participant_id_offset[3.0, 42053]",-0.816,0.15,-1.102,-0.557,0.022,0.016,47.0,118.0,1.03
"z_switch_condition_num|participant_id_offset[3.0, 42063]",-0.373,0.136,-0.602,-0.078,0.021,0.015,42.0,52.0,1.05
"z_switch_condition_num|participant_id_offset[3.0, 42073]",-1.034,0.179,-1.388,-0.744,0.057,0.043,11.0,33.0,1.15
"z_switch_condition_num|participant_id_offset[3.0, 42083]",-0.709,0.168,-0.998,-0.403,0.062,0.046,7.0,33.0,1.21
"z_switch_condition_num|participant_id_offset[3.0, 42103]",-0.465,0.114,-0.681,-0.246,0.014,0.01,69.0,187.0,1.02
"z_switch_condition_num|participant_id_offset[3.0, 42123]",-0.765,0.149,-1.063,-0.488,0.018,0.013,68.0,122.0,1.03
"z_switch_condition_num|participant_id_offset[3.0, 42133]",-1.412,0.186,-1.742,-1.026,0.04,0.028,21.0,89.0,1.08
"z_switch_condition_num|participant_id_offset[3.0, 42143]",-0.851,0.175,-1.206,-0.59,0.037,0.029,25.0,36.0,1.11
"z_switch_condition_num|participant_id_offset[3.0, 42153]",-0.667,0.171,-1.017,-0.385,0.06,0.046,8.0,35.0,1.2
"z_switch_condition_num|participant_id_offset[3.0, 42163]",-0.081,0.104,-0.279,0.113,0.042,0.031,6.0,18.0,1.28
"z_switch_condition_num|participant_id_offset[3.0, 42173]",-0.767,0.177,-1.096,-0.444,0.059,0.043,9.0,42.0,1.17
"z_switch_condition_num|participant_id_offset[3.0, 42183]",-1.066,0.18,-1.432,-0.772,0.031,0.022,35.0,52.0,1.04
"z_switch_condition_num|participant_id_offset[3.0, 42203]",-0.125,0.123,-0.331,0.093,0.022,0.019,37.0,43.0,1.07
